id;identificaciontitular;nombre_titular;apellido_titular;numero_cuenta;tipo_cuenta;codigo_seguridad;fecha_vencimiento
1;Michigan Clothing;Borders HDD;redundant withdrawal Planner;National;benchmark;invoice program;2019-07-21
2;interface Investor Tuna;redefine;Shirt SDD;communities Refined;Pike Borders;payment Rustic;2019-07-21
3;toolset incentivize;deposit matrices quantify;redefine;Ford;SDD;Gloves Jordan;2019-07-21
4;hacking content Persevering;Assurance De-engineered;Shirt Kids;open-source Kuwait optical;online Utah COM;Botswana;2019-07-21
5;Associate;Denmark;Small Metal Computer Multi-channelled Sausages;artificial intelligence;Arizona Congolese Franc;Architect Developer;2019-07-21
6;Paradigm;Facilitator Minnesota;Borders;open-source Burundi;Music;Metal;2019-07-20
7;feed;Officer;feed;communities;Officer Quality-focused invoice;Identity Lek Bedfordshire;2019-07-21
8;SCSI Rhode Island Music;wireless Dynamic Savings Account;invoice whiteboard payment;world-class;Orchestrator;utilisation;2019-07-20
9;Facilitator transmit;Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program;help-desk SAS embrace;Nigeria;2019-07-21
10;migration;Investment Account Ohio;deliver Pine;Haiti;Advanced Awesome Rubber Mouse;payment connect Berkshire;2019-07-21
